Bulan,SUM of Inflasi mom,"<b>Aug-2025<br>0,26</b>"
Fri Jul 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.69,0.69
Mon Aug 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),-0.02,-0.02
Thu Sep 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.22,0.22
Sat Oct 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.14,0.14
Tue Nov 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.47,0.47
Thu Dec 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),0.42,0.42
Sun Jan 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.97,0.97
Wed Feb 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.23,0.23
Wed Mar 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),-0.02,-0.02
Sat Apr 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.09,0.09
Mon May 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.39,0.39
Thu Jun 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.69,0.69
Sat Jul 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.22,0.22
Tue Aug 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),-0.07,-0.07
Fri Sep 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.13,0.13
Sun Oct 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.01,0.01
Wed Nov 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.2,0.2
Fri Dec 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),0.71,0.71
Mon Jan 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.62,0.62
Thu Feb 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.17,0.17
Thu Mar 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.2,0.2
Sun Apr 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.1,0.1
Tue May 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.21,0.21
Fri Jun 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.59,0.59
Sun Jul 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.28,0.28
